text,label
Foarte bun articol,positive
Mi-a placut mult acest articol,positive
Excelent scris si foarte clar,positive
Super interesant si util,positive
Foarte inspirat si bine documentat,positive
Am invatat ceva nou de aici,positive
Mi se pare foarte reusit,positive
Felicitari pentru articol,positive
Este unul dintre cele mai bune articole,positive
Foarte frumos prezentat,positive
Mi-a placut tonul articolului,positive
Clar si convingator,positive
Interesant si captivant,positive
Explicatii foarte bune,positive
M-a ajutat mult,positive
Articol foarte bun si bine structurat,positive
Mi-a placut perspectiva autorului,positive
A fost placut de citit,positive
Continut valoros si bine ales,positive
Foarte util pentru studenti,positive
Nu mi-a placut deloc,negative
Articol slab si confuz,negative
Este plictisitor si lung,negative
Foarte prost explicat,negative
Nu aduce nimic nou,negative
M-a dezamagit complet,negative
Pare scris in graba,negative
Nu sunt de acord cu nimic,negative
Foarte superficial,negative
Exemplele sunt slabe,negative
Nu este convingator,negative
M-a pierdut dupa primele randuri,negative
Textul este obositor,negative
Nu este bine organizat,negative
Ideile sunt amestecate si neclare,negative
Calitate slaba,negative
Titlul promite mult dar continutul nu,negative
Nu merita timpul meu,negative
Prea vag si lipsit de sens,negative
Comentariu foarte negativ despre articol,negative
Este ok,neutral
Articol decent,neutral
Nu am o parere puternica,neutral
Este acceptabil,neutral
Text informativ,neutral
Destul de clar,neutral
Merge,neutral
E un articol obisnuit,neutral
Nu e rau,neutral
Nu e nici bun nici rau,neutral
Continut standard,neutral
Pare corect,neutral
Este simplu,neutral
In regula,neutral
Poate fi imbunatatit,neutral
Am citit articolul,neutral
Nu stiu ce sa spun,neutral
Are si parti bune si parti slabe,neutral
Este informativ dar nimic special,neutral
Comentariu neutru despre articol,neutral
Great article and very easy to follow,positive
I really enjoyed reading this,positive
This was helpful and well written,positive
Excellent work on this piece,positive
Very thoughtful and informative,positive
I did not like this article,negative
This was disappointing and weak,negative
Poorly written and confusing,negative
I found it boring,negative
The article feels rushed,negative
It was fine,neutral
This is average,neutral
Nothing special here,neutral
It is informative enough,neutral
Reasonably clear overall,neutral
